 j b k| | Nmumu |  Nee  | Nb/0b | stat  |MC stat| ttz SF| syst+ | syst- | sysKin| sysPur
 3 1 9| |      0|      0| 0.6202| 0.2054| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0226
 3 2 1| |      1|      3| 0.1835| 0.2955| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0510
 3 2 2| |      0|      1| 0.2193| 0.2955| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0510
 3 2 4| |      3|      3| 0.1885| 0.2955| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0510
 3 2 5| |      0|      1| 0.2108| 0.2955| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0510
 3 2 6| |      0|      1| 0.1819| 0.2955| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0510
 3 2 7| |      0|      0| 0.1788| 0.2955| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0510
 3 2 8| |      0|      1| 0.2367| 0.2955| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0510
 3 2 9| |      0|      0| 0.1846| 0.2955| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0510
 3 3 1| |      0|      2| 0.0629| 0.5156| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0510
 3 3 2| |      0|      0| 0.0500| 0.5156| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0510
 3 3 4| |      1|      0| 0.0611| 0.5156| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0510
 3 3 5| |      0|      0| 0.0530| 0.5156| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0510
 3 3 6| |      0|      0| 0.0634| 0.5156| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0510
 3 3 7| |      0|      1| 0.0645| 0.5156| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0510
 3 3 8| |      0|      0| 0.0437| 0.5156| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0510
 3 3 9| |      0|      0| 0.0625| 0.5156| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0510
 4 0 1| |      0|      0| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0142
 4 0 2| |      2|      0| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0142
 4 0 4| |      4|      0| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0142
 4 0 5| |      1|      0| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0142
 4 0 6| |      0|      0| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0142
 4 0 7| |      0|      0| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0142
 4 0 8| |      0|      0| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0142
 4 0 9| |      0|      0| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0142
 4 1 1| |      1|      2| 0.4199| 0.6901| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0226
 4 1 2| |      0|      0| 0.4199| 0.6901| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0226
 4 1 4| |      0|      0| 0.4199| 0.6901| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0226
 4 1 5| |      0|      0| 0.4199| 0.6901| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0226
 4 1 6| |      0|      0| 0.4199| 0.6901| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0226
 4 1 7| |      0|      0| 0.4199| 0.6901| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0226
 4 1 8| |      0|      0| 0.4199| 0.6901| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0226
 4 1 9| |      0|      0| 0.4199| 0.6901| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0226
 4 2 1| |      0|      0| 0.1301| 1.0690| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0510
 4 2 2| |      0|      1| 0.1301| 1.0690| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0510
 4 2 4| |      0|      0| 0.1301| 1.0690| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0510
 4 2 5| |      0|      0| 0.1301| 1.0690| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0510
 4 2 6| |      0|      0| 0.1301| 1.0690| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0510
 4 2 7| |      0|      0| 0.1301| 1.0690| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0510
 4 2 8| |      0|      0| 0.1301| 1.0690| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0510
 4 2 9| |      0|      0| 0.1301| 1.0690| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0510
 4 3 1| |      0|      0| 0.1236| 1.0690| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0510
 4 3 2| |      0|      0| 0.1236| 1.0690| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0510
 4 3 4| |      1|      0| 0.1236| 1.0690| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0510
 4 3 5| |      0|      0| 0.1236| 1.0690| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0510
 4 3 6| |      0|      0| 0.1236| 1.0690| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0510
 4 3 7| |      0|      0| 0.1236| 1.0690| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0510
 4 3 8| |      0|      0| 0.1236| 1.0690| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0510
 4 3 9| |      0|      0| 0.1236| 1.0690| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0510
